id,doi,pdf_url,is_open_access,is_primary
W1508188319,,,,
W1528111169,,,,True
W1849674298,,,,
W1894620164,https://doi.org/10.1016/j.vaccine.2015.07.113,,,True
W1974948045,https://doi.org/10.1021/ci050277o,,,True
W1998032829,https://doi.org/10.1080/13658816.2011.639302,,,True
W2011313178,https://doi.org/10.1021/ci950142q,,,True
W2019695274,https://doi.org/10.1080/10106049.2015.1004132,,,True
W2021236715,https://doi.org/10.1080/13658816.2011.592647,,,True
W2026383861,https://doi.org/10.1080/01431161.2011.640963,,,True
W2036127775,https://doi.org/10.1524/zkri.2006.221.1.15,,,True
W2046515937,https://doi.org/10.1109/tla.2014.6868859,,,True
W2054387564,https://doi.org/10.1016/s1389-1286(00)00046-3,,,True
W2061291293,https://doi.org/10.5916/jkosme.2012.36.8.1129,,,True
W2063926948,https://doi.org/10.1179/000870407x241719,,,True
W2068469762,https://doi.org/10.1504/ijbis.2010.035050,,,True
W2088747396,https://doi.org/10.1017/s0373463399008607,,,True
W2093291249,https://doi.org/10.4028/www.scientific.net/amr.201-203.2330,,,True
W2105762073,https://doi.org/10.1109/25.832995,,,True
W2107876039,https://doi.org/10.1109/tkde.2011.147,,,True
W2118106272,https://doi.org/10.3233/fi-2015-1180,,,True
W2149803399,https://doi.org/10.1504/ijcat.2014.062371,,,True
W2156327052,https://doi.org/10.1556/ageod.45.2010.1.6,,,True
W2160561537,https://doi.org/10.1007/s00704-007-0362-9,,,True
W2162001642,https://doi.org/10.1109/tap.2009.2027180,,,True
W2187672001,,,,
W2187836080,,,,
W2189138087,,,,
W2189620004,,,,
W2282908197,https://doi.org/10.1175/jcli-d-15-0731.1,,,True
W2293446003,https://doi.org/10.1080/19479832.2015.1109565,,,True
W2338162861,,,,
W2347782892,,,,True
W2347898510,,,,
W2349682399,,,,True
W2351098658,,,,True
W2351819253,,,,True
W2355339745,,,,True
W2356680826,,,,
W2358048871,,,,True
W2358339118,,,,True
W2358464317,,,,True
W2361386620,,,,True
W2363895055,,,,True
W2366464081,,,,True
W2366530826,,,,
W2368152566,,,,True
W2371437433,,,,
W2373215598,,,,True
W2374730881,,,,
W2381195878,,,,True
W2381828121,,,,True
W2386164286,,,,True
W2386233243,,,,True
W2388007224,,,,True
W2388037573,,,,
W2388107174,,,,True
W2388280948,,,,
W2389224096,,,,True
W2389333968,,,,
W2389667933,,,,True
W2389774232,,,,True
W2392084163,,,,True
W2394447890,,,,
W2401640580,,,,True
W2411496274,,,,
W2465500911,,,,
W2560478127,,,,
W2586054446,,,,
W2768524606,,,,
W2773430425,,,,
W2785343180,https://doi.org/10.1108/sr-06-2017-0115,,,True
W2810236725,https://doi.org/10.1201/9781003078999-27,,,
W2898591675,,,,
W2997853471,https://doi.org/10.13474/j.cnki.11-2246.2016.0202,,,True
W3113551251,https://doi.org/10.3138/cart-2019-0025,,,True
W3207147305,,,,
W4283384464,https://doi.org/10.1080/14498596.2022.2091674,,,True
W4310363171,https://doi.org/10.1002/cpe.7477,,,True
W4312285477,https://doi.org/10.14778/3554821.3554843,,,True
W4389573668,https://doi.org/10.15407/jai2023.03.126,,,True
W4390692351,https://doi.org/10.1109/jbhi.2024.3352013,,,True
W4390913691,https://doi.org/10.1111/tgis.13132,,,True
W4392631937,https://doi.org/10.1136/ijgc-2024-esgo.368,,,
W4400206077,https://doi.org/10.17560/atp.v66i6-7.2738,,,True
W4400641571,https://doi.org/10.1007/s00778-024-00864-x,,,True
W4400993412,https://doi.org/10.69554/yqbv7690,,,True
W4401669218,https://doi.org/10.1111/tgis.13232,,,True
W4402308794,https://doi.org/10.3233/scs-240011,,,True
W4403737985,https://doi.org/10.17821/srels/2024/v61i5/171583,,,True
W4404181035,https://doi.org/10.14778/3685800.3685905,,,True
W4404181049,https://doi.org/10.14778/3685800.3685805,,,True
W4404181126,https://doi.org/10.14778/3685800.3685895,,,True
W4404181268,https://doi.org/10.14778/3685800.3685911,,,True
W4404181272,https://doi.org/10.14778/3685800.3685838,,,True
W4405541555,https://doi.org/10.70456/gajm2853,,,True
W4405541605,https://doi.org/10.70456/tbrn3643,,,True
W4407189389,https://doi.org/10.36548/jismac.2024.4.005,,,True
W4407355496,https://doi.org/10.14778/3696435.3696439,,,True
W4407357002,https://doi.org/10.1145/3709743,,,True
W4407555323,https://doi.org/10.1142/s0218194025500147,,,True
W4408266590,https://doi.org/10.30693/smj.2025.14.2.34,,,True
W4409561035,https://doi.org/10.1109/tcad.2025.3562158,,,True
W4409581432,https://doi.org/10.1109/tsc.2025.3562362,,,True
W4410538599,https://doi.org/10.14778/3717755.3717760,,,True
W4410638971,https://doi.org/10.1109/lra.2025.3573203,,,True
W4411277297,https://doi.org/10.55041/ijsrem.ncft007,,,True
W4411383706,https://doi.org/10.1177/1088467x251348350,,,True
W4411403284,https://doi.org/10.1145/3725260,,,True
W4411403474,https://doi.org/10.1145/3725403,,,True
W4411643664,https://doi.org/10.1016/j.eswa.2025.128644,,,True
W4411870291,https://doi.org/10.63345/ijrmeet.org.v12.i12.6,,,True
W4411936524,https://doi.org/10.1111/coin.70096,,,True
W4412692590,https://doi.org/10.1080/1206212x.2025.2537892,,,True
W4413755895,https://doi.org/10.14778/3718057.3718078,,,True
W4413926018,https://doi.org/10.1109/tdsc.2025.3605268,,,True
W4413980395,https://doi.org/10.14778/3749646.3749650,,,True
W4413980656,https://doi.org/10.14778/3749646.3749724,,,True
W4413985475,https://doi.org/10.14778/3748191.3748212,,,True
W4414241804,https://doi.org/10.14778/3750601.3750619,,,True
W4414266937,https://doi.org/10.14778/3750601.3750624,,,True
W4414267107,https://doi.org/10.14778/3750601.3750674,,,True
W4414267113,https://doi.org/10.14778/3750601.3750635,,,True
W4416219270,https://doi.org/10.1142/s2424922x25400017,,,True
W4416832506,https://doi.org/10.2118/1225-0008-jpt,,,True
W4416832522,https://doi.org/10.2118/1225-0010-jpt,,,True
W4416994072,https://doi.org/10.1227/neu.0000000000003865,,,True
W7108994786,https://doi.org/10.1145/3769843,,,True
W7110914702,https://doi.org/10.32854/agrop.vi.2067,,,True
W7114371896,,,,
W7115173192,https://doi.org/10.1111/tgis.70172,,,True
W7117340464,,,,True
W7117346272,,,,True
W7127138745,https://doi.org/10.1051/epjconf/202532605011/pdf,,,True
W7127191332,https://doi.org/10.1051/e3sconf/202562203002/pdf,,,True
W7131779026,https://doi.org/10.1142/s0219519426400440,,,True
W7132839738,https://doi.org/10.2118/0326-0015-jpt,,,True
W7133489305,https://doi.org/10.1177/17407745261422365,,,True
W7133635722,https://doi.org/10.5391/jkiis.2026.36.1.7,,,True
W7138897806,https://doi.org/10.14778/3785297.3785304,,,True
W7138958097,https://doi.org/10.14778/3778092.3778101,,,True
W7143521019,https://doi.org/10.33162/jar.2026.3.26.1.036,,,True
W7147125823,https://doi.org/10.21655/ijsi.1673-7288.00369,,,True
W7147668907,https://doi.org/10.21655/ijsi.1673-7288.00372,,,True
W7153544824,https://doi.org/10.1051/itmconf/20268502007/pdf,,,True
W7154496765,https://doi.org/10.1213/xaa.0000000000002183,,,True
W7155183222,https://doi.org/10.1177/17479541261441416,,,True
W7161587223,https://doi.org/10.1145/3802051,,,True
W7162770757,https://doi.org/10.1145/3805634,,,True
W7163994313,https://doi.org/10.1109/jbhi.2026.3701921,,,True
W7164008069,https://doi.org/10.1109/mcg.2026.3701906,,,True
W7164663719,https://doi.org/10.1007/s10844-026-01064-5,,,True
W7164993460,https://doi.org/10.1016/j.sysarc.2026.103897,,,True
W7166800845,https://doi.org/10.1109/tkde.2026.3709125,,,True
W7167919148,https://doi.org/10.1093/bjs/znag063.468,,,True
W7170028651,,,,True
W821153554,,,,True
W89981584,,,,True
