Work ID,DOI,Title,Author,Year,Date,Citation count,Open access
W4400641571,https://doi.org/10.1007/s00778-024-00864-x,Survey of vector database management systems,James Jie Pan|Jianguo Wang|Guoliang Li,2024,2024-07-15,133,NOT Open Access
W2160561537,https://doi.org/10.1007/s00704-007-0362-9,Computing continuous sky view factors using 3D urban raster and vector databases: comparison and application to urban climate,Tamás Gál|Fredrik Lindberg|János Unger,2008,2008-01-04,219,NOT Open Access
W1990158428,https://doi.org/10.1371/journal.pone.0028347,Nigeria Anopheles Vector Database: An Overview of 100 Years' Research,Patricia N. Okorie|F. Ellis McKenzie|Olusegun G. Ademowo|Moses J. Bockarie|Louise A. Kelly‐Hope,2011,2011-12-05,85,Open Access
W4391849320,https://doi.org/10.1016/j.cogsys.2024.101216,"Vector database management systems: Fundamental concepts, use-cases, and current challenges",Toni Taipalus,2024,2024-02-15,92,Open Access
W2036127775,https://doi.org/10.1524/zkri.2006.221.1.15,Bilbao Crystallographic Server: I. Databases and crystallographic computing programs,M. I. Aroyo|J. M. Pérez-Mato|C. Capillas|E. Kroumova|S. Ivantchev|G. Madariaga|Asen Kirov|H. Wondratschek,2005,2005-10-27,1211,NOT Open Access
W2401640580,,Vectorizing Database Column Scans with Complex Predicates,Thomas Willhalm|Ismail Oukid|Ingo Müller|Franz Faerber,2013,2013-01-01,51,NOT Open Access
W4415124086,https://doi.org/10.1109/tbdata.2025.3618474,The Faiss Library,Matthijs Douze|Alexandr Guzhva|Chengqi Deng|Jeff Johnson|Gergely Szilvasy|Pierre-Emmanuel Mazaré|María Lomelí|Lucas Hosseini|Hervé Jeǵou,2025,2025-10-13,334,Open Access
W2054387564,https://doi.org/10.1016/s1389-1286(00)00046-3,The Term Vector Database: fast access to indexing terms for Web pages,Raymie Stata|Krishna Bharat|Farzin Maghoul,2000,2000-06-01,39,NOT Open Access
W4404181035,https://doi.org/10.14778/3685800.3685905,"Chat2Data: An Interactive Data Analysis System with RAG, Vector Databases and LLMs",Xinyang Zhao|Xuanhe Zhou|Guoliang Li,2024,2024-08-01,33,NOT Open Access
W4407279179,https://doi.org/10.30574/ijsra.2022.7.2.0334,Harnessing vector databases: A comprehensive analysis of their role across industries,Rajesh Daruvuri,2022,2022-12-30,26,Open Access
W4404181049,https://doi.org/10.14778/3685800.3685805,SingleStore-V: An Integrated Vector Database System in SingleStore,Cheng Chen|Chenzhe Jin|Yunan Zhang|Sasha Podolsky|Chun‐Ying Wu|Szu-Po Wang|Eric N. Hanson|Zhou Sun|Robert Walzer|Jianguo Wang,2024,2024-08-01,22,NOT Open Access
W2162001642,https://doi.org/10.1109/tap.2009.2027180,Zero Backscattering From Self-Dual Objects of Finite Size,Ismo V. Lindell|Ari Sihvola|Pasi Ylä‐Oijala|Henrik Wallén,2009,2009-07-15,52,NOT Open Access
W4408924242,https://doi.org/10.54660/.ijfmr.2025.6.1.86-91,RAG-Based Query Engine using LLM and Vector DB for College Details,Arshia Tahseen|Joanna Sumathi|Shriya Reddy|D. Shravani,2025,2025-01-01,2,Open Access
W2803778394,https://doi.org/10.1155/2018/3702808,On Detecting and Removing Superficial Redundancy in Vector Databases,Noemí DeCastro‐García|Ángel Luis Muñoz Castañeda|M. Fernández Rodríguez|Miguel V. Carriegos,2018,2018-01-01,10,Open Access
W2801703976,https://doi.org/10.26833/ijeg.383054,Real time vector database updating system: a case study for Turkish topographic vector database (Topovt),Altan Yilmaz|Mustafa CANIBERK,2018,2018-04-15,8,Open Access
W2119913432,https://doi.org/10.3390/s101211259,Approximate Nearest Neighbor Search by Residual Vector Quantization,Yongjian Chen|Tao Guan|Cheng Wang,2010,2010-12-08,164,Open Access
W2107876039,https://doi.org/10.1109/tkde.2011.147,"Nonadaptive Mastermind Algorithms for String and Vector Databases, with Case Studies",Arthur Asuncion|Michael T. Goodrich,2011,2011-07-06,10,NOT Open Access
W4312285477,https://doi.org/10.14778/3554821.3554843,Manu,Rentong Guo|Xiaofan Luan|Long Xiang|Xiao Yan|Xiaomeng Yi|Jigao Luo|Qianya Cheng|Weizhi Xu|Jiarui Luo|Frank Liu|Cao Zhenshan|Yanliang Qiao|Ting Wang|Bo Tang|Charles Xie,2022,2022-08-01,76,NOT Open Access
W1997823313,https://doi.org/10.5194/isprsannals-i-4-13-2012,GEOMETRICAL ADJUSTMENT TOWARDS THE ALIGNMENT OF VECTOR DATABASES,Sagi Dalyot|Tobias Dahinden|M. J. Schulze|Joachim Boljen|Monika Sester,2012,2012-07-16,6,Open Access
W2282908197,https://doi.org/10.1175/jcli-d-15-0731.1,Observed Tropical Cyclone Size Revisited,Daniel R. Chavas|Ning Lin|Wenhao Dong|Yanluan Lin,2016,2016-02-17,152,NOT Open Access
W4402548504,https://doi.org/10.53022/oarjet.2024.7.1.0043,Vector Databases,Aradhya KC|Divya TL,2024,2024-09-15,2,Open Access
W1894620164,https://doi.org/10.1016/j.vaccine.2015.07.113,Vaxvec: The first web-based recombinant vaccine vector database and its data analysis,Shunzhou Deng|Carly Martin|Rasika Patil|Felix Zhu|Bin Zhao|Zuoshuang Xiang|Yongqun He,2015,2015-09-26,8,NOT Open Access
W4404181268,https://doi.org/10.14778/3685800.3685911,Vector Databases: What's Really New and What's Next? (VLDB 2024 Panel),Jianguo Wang|Eric O. Hanson|Guoliang Li|Yannis Papakonstantinou|Harsha Vardhan Simhadri|Charles Xie,2024,2024-08-01,7,NOT Open Access
W2068469762,https://doi.org/10.1504/ijbis.2010.035050,"Equational zero vector databases, non-equational databases, and inherent internal control",Roberta Ann Barra|Arline Savage|Jeff Tsay,2010,2010-01-01,7,NOT Open Access
